old_name,new_name
Eugenia.natalitia_Maurin.1796,
Eugenia.neibensis_Flickinger.2015DR1,
Eugenia.neibensis_Vasconcelos.590,
Eugenia.neofasciculata_Page.105,
Eugenia.neograndifolia_Giaretta.1615,
Eugenia.neograndifolia_Giaretta.1616,
Eugenia.neograndifolia_Holst.9435,
Eugenia.neomyrtifolia_Mazine.953,
Eugenia.neoriedeliana_Giaretta.1489,
Eugenia.neoverrucosa_Lucas.118,
Eugenia.nutans_Lucas.281,
Eugenia.orbiculata_Florens.sn.PRU092779,
Eugenia.orbiculata_Page.104,
Eugenia.pachyadenia_Verdecia.sn,
Eugenia.pacifica_IgeaVS.7887,Eugenia.pacifica_VS.7887
Eugenia.padronii_Flickinger.70,
Eugenia.padronii_Flickinger.83,
Eugenia.paludosa_Vasconcelos.646,
Eugenia.paracatuana_Faria.2928,
Eugenia.paracatuana_Silva.64,
Eugenia.patens_Lucas.104,
Eugenia.patrisii_Holst.9514,
Eugenia.patrisii_Staggemeier.834,
Eugenia.patrisii_Vasconcelos.327,
Eugenia.percincta_Simon.1158,
Eugenia.petaloidea_Amorim.1765.4,
Eugenia.picardae_Flickinger.2015DR2,
Eugenia.piedraensis_Flickinger.48,
Eugenia.piresiana_Faria.3101,
Eugenia.piresiana_Garcia.sn,
Eugenia.pisonis_Giaretta.1419,
Eugenia.pistaciifolia_Faria.1782,
Eugenia.pistaciifolia_Faria.2644,
Eugenia.pitanga_Faria.4112,
Eugenia.pitanga_Mazine.1044,
Eugenia.platyphylla_Lucas.1188,
Eugenia.platysema_Mazine.3001,
Eugenia.plicatocostata_Popovkin.1770,
Eugenia.pluriflora_Faria.3052,
Eugenia.pluriflora_Mazine.961,
Eugenia.pohliana_Faria.1888,
Eugenia.pohliana_Landim.1674,
Eugenia.pollicina_MoorhouseGann.sn,
Eugenia.pollicina_Page.106,
Eugenia.prasina_Mazine.959,
Eugenia.prasina_Zappi.406,
Eugenia.protenta_Vasconcelos.350,
Eugenia.pseudopsidium_Santiago.20177,
Eugenia.puberula_Bunger.629,
Eugenia.pubicalyx_Flickinger.2015DR11,
Eugenia.punicifolia_Mazine.1065,
Eugenia.punicifolia_ParraO.759,
Eugenia.punicifolia_Staggemeier.302,
Eugenia.punicifolia_Vasconcelos.736,
Eugenia.pyrifera_Faria.3870,
Eugenia.pyriformis_DaSilvaFarias.4528,
Eugenia.pyriformis_Faria.1011,
Eugenia.pyriformis_Faria.3063,
Eugenia.pyriformis_Faria.3064,
Eugenia.pyriformis_Faria.3086,
Eugenia.pyriformis_Faria.3166,
Eugenia.pyriformis_Genome.MN095410_private.garden,
Eugenia.pyriformis_Mazine.1028,
Eugenia.pyxidata_MoorhouseGann.sn,
Eugenia.rara_Giaretta.1646,
Eugenia.regia_Bunger.578,
Eugenia.reinwardtiana_Holst.8870,
Eugenia.reinwardtiana_Hyland.9245,
Eugenia.reinwardtiana_Wilson.sn.977022,Eugenia.reinwardtiana_Armstrong.sn.NSW977022
Eugenia.reinwardtiana_Zappi.sn,
Eugenia.repanda_Lucas.273,
Eugenia.repanda_Mazine.1090,
Eugenia.retinadenia_OviedoChaves.sn,Eugenia.retinadenia_Oviedo.sn
Eugenia.rhombea_Holst.8864,
Eugenia.rhombea_Oviedo.sn,
Eugenia.rigidifolia_Oviedo.sn,
Eugenia.rosea_Faria.2579,
Eugenia.roseopetiolata_Vasconcelos.sn,
Eugenia.rotula_Faria.4190,
Eugenia.ruschiana_Bunger.618,
Eugenia.schottiana_Valdemarin.821,
Eugenia.sebastianopolitana_Souza.sn,
Eugenia.sebastianopolitana_Stadnik.448,
Eugenia.selloi_Bunger.566,
Eugenia.selloi_Genome.MN095411_private.garden,
Eugenia.sellowiana_Faria.1744,
Eugenia.sellowiana_Faria.2827,
Eugenia.sellowiana_Faria.3088,
Eugenia.sellowiana_Faria.907,
Eugenia.sessiliflora_Flickinger.120,
Eugenia.sessiliflora_Gibney.sn,
Eugenia.singampattiana_Erkings.sn,
Eugenia.sintenisii_Flickinger.122,
Eugenia.sp_Costa.470,
Eugenia.sp_Faria.2287,
Eugenia.sp_Faria.2591,
Eugenia.sp_Faria.2592,
Eugenia.sp_Faria.2617,
Eugenia.sp_Faria.2622,
Eugenia.sp_Faria.2624,
Eugenia.sp_Faria.2732,
Eugenia.sp_Faria.3153,
Eugenia.sp_Faria.6308,
Eugenia.sp_Faria.6573,
Eugenia.sp_Prevost.4724,
Eugenia.sp_RayA.2016,
Eugenia.sp_Staggemeier.897,
Eugenia.sp_vanWyk.12702,
Eugenia.sp_vanWyk.12716,
Eugenia.sp_vanWyk.12717,
Eugenia.sp_Vasconcelos.348,
Eugenia.sparsa_Mazine.1084,
Eugenia.speciosa_Bunger.585,
Eugenia.speciosa_Mota.2477,
Eugenia.sphenophylla_Lucas.257,
Eugenia.splendens_Faria.1929,
Eugenia.splendens_Faria.4196,
Eugenia.splendens_Faria.6793,
Eugenia.sprengelii_Urban.PRU092791,Eugenia.sprengelii_Urban.sn_PRU092791
Eugenia.sprengelii_Valdemarin.1143,
Eugenia.spruceana_Holst.9465,
Eugenia.stahlii_Flickinger.67,
Eugenia.stahlii_Swensen.169,
Eugenia.stenoxipha_Oviedo.sn,
Eugenia.stewardsonii_Flickinger.76,
Eugenia.stictopetala_Mazine.1077,
Eugenia.stigmatosa_Sampaio.ESA85684,Eugenia.stigmatosa_Sampaio.sn_ESA85684
Eugenia.stigmatosa_Valdemarin.1353,
Eugenia.stipitata_Flickinger.90,
Eugenia.stipitata_Holst.8872,
Eugenia.stipitata_ParraO.728,
Eugenia.stipitata_Souza.sn,
Eugenia.stipitata_Stadnik.428,
Eugenia.stipitata_Vasconcelos.677,
Eugenia.subavenia_Mazine.805,
Eugenia.subglomerata_Mazine.461,
Eugenia.subterminalis_Mazine.974,
Eugenia.sulcata_Lucas.68,
Eugenia.sulcata_Mazine.787,
Eugenia.sulcata_Staggemeier.902,
Eugenia.supraaxillaris_Faria.3033,
Eugenia.supraaxillaris_Mazine.994,
Eugenia.talbotii_PM.5037,Eugenia.talbotii_Parmentier.5037
Eugenia.tenuipedunculata_Giaretta.1493,
Eugenia.tenuipedunculata_Mazine.993,
Eugenia.ternatifolia_Faria.2861,
Eugenia.tetramera_Holst.9422,
Eugenia.tinifolia_Florens.sn.PRU092783,
Eugenia.tinifolia_Page.25,
Eugenia.torbeciana_Ionta.2047,
Eugenia.tropophylla_Lowrey.2134,
Eugenia.tuberculata_Oviedo.sn,
Eugenia.umbellulifera_Flickinger.2015FTG4,
Eugenia.umbellulifera_Vasconcelos.572,
Eugenia.umbrosa_Giaretta.1498,
Eugenia.umbrosa_Mazine.1085,
Eugenia.umtamvunensis_Maurin.1794,
Eugenia.unana_Faria.4221,
Eugenia.uniflora_Abbott.23855,
Eugenia.uniflora_Flickinger.2015FL1,
Eugenia.uniflora_Genome.KR867678_ICN193277,
Eugenia.uniflora_Giaretta.sn,
Eugenia.uniflora_Lucas.207,
Eugenia.varia_OviedoChaves.sn,Eugenia.varia_Oviedo.sn
Eugenia.vattimoana_Giaretta.1465,
Eugenia.vaughanii_Page.69,
Eugenia.verdoorniae_vanWyk.12697,
Eugenia.verticillata_Duarte.ESA85678,Eugenia.verticillata_Duarte.sn.ESA85678
Eugenia.vetula_Faria.1893,
Eugenia.victoriana_Vasconcelos.717,
Eugenia.victorinii_Oviedo.sn,
Eugenia.walkerae_Walker.95016,
Eugenia.websteri_Flickinger.2016J8,
Eugenia.wentii_Gonzalez.NH200102,
Eugenia.wentii_Holst.9421,
Eugenia.woodburyana_Flickinger.126,
Eugenia.woodii_Maurin.MvdB26,
Eugenia.woodii_vanWyk.12695,
Eugenia.wynadensis_Rajkumar.310,
Eugenia.zeyheri_Maurin.1800,
Eugenia.zeyheri_vanWyk.12696,
Eugenia.zuccarinii_Brandao.159,
Eugenia.zuluensis_Abbott.9188,
Eugenia.zuluensis_PRU092775,
Feijoa.sellowiana_Genome.KX289887_Machado.1_FLOR0059178,
Feijoa.sellowiana_Lucas.205,
Gossia.clusioides_Soewarto.14,
Gossia.hillii_Belsham.78,
Gossia.inophloia_Belsham.79,
Heteropyxis.natalensis_Wilson.1475,
Kanakomyrtus.dawsoniana_Vasconcelos.639,
Kania.eugenioides_Takeuchi.7068,
Legrandia.concinna_RBGE.19990656,
Lenwebbia.lasioclada_Bean.7113,
Lenwebbia.prominens_Forster.40529,
Lenwebbia.prominens_Snow.7463,
Lenwebbia.prominens_Wilson.1347,
Leptospermum.scoparium_Lucas.284,
Lophomyrtus.bullata_Belsham.M31,
Lophomyrtus.bullata_Merri.sn,
Lophomyrtus.obcordata_Belsham.M41,
Lophomyrtus.obcordata_Belsham.M42,
Lophomyrtus.obcordata_Maurin.90,
Luma.apiculata_Lucas.208,
