"old_tips","new_tips"
"Eugenia.longipetiolata_Bunger.626","Eugenia.longipetiolata"
"Eugenia.longiracemosa_Vasconcelos.310","Eugenia.longiracemosa"
"Eugenia.longohypanthiata_Giaretta.1500","Eugenia.longohypanthiata"
"Eugenia.lucens_Flickinger.55","Eugenia.lucens"
"Eugenia.lucida_Florens.sn.PRU092784","Eugenia.lucida"
"Eugenia.luschnathiana_Abbott.24204","Eugenia.luschnathiana"
"Eugenia.macrobracteolata_Faria.3050","Eugenia.macrobracteolata"
"Eugenia.macrosperma_Faria.2526","Eugenia.macrosperma"
"Eugenia.maestrensis_Flickinger.20","Eugenia.maestrensis"
"Eugenia.magnibracteolata_Bunger.627","Eugenia.magnibracteolata"
"Eugenia.magnisepala_Moraes.600","Eugenia.magnisepala"
"Eugenia.malacantha_Faria.3043","Eugenia.malacantha"
"Eugenia.martinellii_Stadnik.380","Eugenia.martinellii"
"Eugenia.mattosii_Valdemarin.1349","Eugenia.mattosii"
"Eugenia.melanogyna_Mazine.969","Eugenia.melanogyna"
"Eugenia.membranifolia_Duarte.sn_ESA85677","Eugenia.membranifolia"
"Eugenia.mensurensis_Flickinger.30","Eugenia.mensurensis"
"Eugenia.mespiloides_Wilson.10741","Eugenia.mespiloides"
"Eugenia.modesta_Mazine.854","Eugenia.modesta"
"Eugenia.monticola_Vasconcelos.566","Eugenia.monticola"
"Eugenia.moschata_Simon.971","Eugenia.moschata"
"Eugenia.myrcianthes_Faria.2850","Eugenia.myrcianthes"
"Eugenia.naguana_Flickinger.26","Eugenia.naguana"
"Eugenia.natalitia_Maurin.1796","Eugenia.natalitia"
"Eugenia.neibensis_Vasconcelos.590","Eugenia.neibensis"
"Eugenia.neofasciculata_Page.105","Eugenia.neofasciculata"
"Eugenia.neograndifolia_Holst.9435","Eugenia.neograndifolia"
"Eugenia.neomyrtifolia_Mazine.953","Eugenia.neomyrtifolia"
"Eugenia.neoriedeliana_Giaretta.1489","Eugenia.neoriedeliana"
"Eugenia.neoverrucosa_Lucas.118","Eugenia.neoverrucosa"
"Eugenia.nutans_Lucas.281","Eugenia.nutans"
"Eugenia.orbiculata_Page.104","Eugenia.orbiculata"
"Eugenia.pachyadenia_Verdecia.sn","Eugenia.pachyadenia"
"Eugenia.pacifica_VS.7887","Eugenia.pacifica"
"Eugenia.padronii_Flickinger.83","Eugenia.padronii"
"Eugenia.paludosa_Vasconcelos.646","Eugenia.paludosa"
"Eugenia.paracatuana_Faria.2928","Eugenia.paracatuana"
"Eugenia.patens_Lucas.104","Eugenia.patens"
"Eugenia.patrisii_Staggemeier.834","Eugenia.patrisii"
"Eugenia.percincta_Simon.1158","Eugenia.percincta"
"Eugenia.petaloidea_Amorim.1765.4","Eugenia.petaloidea"
"Eugenia.picardae_Flickinger.2015DR2","Eugenia.picardae"
"Eugenia.piedraensis_Flickinger.48","Eugenia.piedraensis"
"Eugenia.piresiana_Faria.3101","Eugenia.piresiana"
"Eugenia.pisonis_Giaretta.1419","Eugenia.pisonis"
"Eugenia.pistaciifolia_Faria.1782","Eugenia.pistaciifolia"
"Eugenia.pitanga_Faria.4112","Eugenia.pitanga"
"Eugenia.platyphylla_Lucas.1188","Eugenia.platyphylla"
"Eugenia.platysema_Mazine.3001","Eugenia.platysema"
"Eugenia.plicatocostata_Popovkin.1770","Eugenia.plicatocostata"
"Eugenia.pluriflora_Faria.3052","Eugenia.pluriflora"
"Eugenia.pohliana_Faria.1888","Eugenia.pohliana"
"Eugenia.pollicina_Page.106","Eugenia.pollicina"
"Eugenia.prasina_Mazine.959","Eugenia.prasina"
"Eugenia.protenta_Vasconcelos.350","Eugenia.protenta"
"Eugenia.pseudopsidium_Santiago.20177","Eugenia.pseudopsidium"
"Eugenia.puberula_Bunger.629","Eugenia.puberula"
"Eugenia.pubicalyx_Flickinger.2015DR11","Eugenia.pubicalyx"
"Eugenia.punicifolia_Vasconcelos.736","Eugenia.punicifolia"
"Eugenia.pyrifera_Faria.3870","Eugenia.pyrifera"
"Eugenia.pyriformis_Mazine.1028","Eugenia.pyriformis"
"Eugenia.pyxidata_MoorhouseGann.sn","Eugenia.pyxidata"
"Eugenia.rara_Giaretta.1646","Eugenia.rara"
"Eugenia.regia_Bunger.578","Eugenia.regia"
"Eugenia.reinwardtiana_Holst.8870","Eugenia.reinwardtiana"
"Eugenia.repanda_Lucas.273","Eugenia.repanda"
"Eugenia.retinadenia_Oviedo.sn","Eugenia.retinadenia"
"Eugenia.rhombea_Holst.8864","Eugenia.rhombea"
"Eugenia.rigidifolia_Oviedo.sn","Eugenia.rigidifolia"
"Eugenia.rosea_Faria.2579","Eugenia.rosea"
"Eugenia.roseopetiolata_Vasconcelos.sn","Eugenia.roseopetiolata"
"Eugenia.rotula_Faria.4190","Eugenia.rotula"
"Eugenia.ruschiana_Bunger.618","Eugenia.ruschiana"
"Eugenia.schottiana_Valdemarin.821","Eugenia.schottiana"
"Eugenia.sebastianopolitana_Stadnik.448","Eugenia.sebastianopolitana"
"Eugenia.selloi_Bunger.566","Eugenia.selloi"
"Eugenia.sellowiana_Faria.1744","Eugenia.sellowiana"
"Eugenia.sessiliflora_Gibney.sn","Eugenia.sessiliflora"
"Eugenia.singampattiana_Erkings.sn","Eugenia.singampattiana"
