old.tips	new.tips
Myrcia.mutabilis_Santos.621	Myrcia.mutabilis_Santos.621
Myrcia.rupestris_Santos.640	Myrcia.rupestris_Santos.640
Myrcia.calyptranthoides_Santos.833	Myrcia.mutabilis_Santos.833
Myrcia.neobuxifolia_Clarke.5707	Myrcia.neobuxifolia_Clarke.5707
16201_Myrcia_bicarinata_AnaRaquel_matrix	Myrcia.costeira_Lucas.71
Myrcia.bicolor_Lucas.219	Myrcia.bicolor_Lucas.219
Myrcia.densa_Santos.643	Myrcia.densa_Santos.643
Myrcia.subcordata_Santos.586	Myrcia.subcordata_Santos.586
Myrcia.pulchra_Santos.845	Myrcia.subcordata_Santos.845
Myrcia.sp_Santos.793	Myrcia.aff.ochraciflora_Santos.793
Myrcia.tenuifolia_Santos.747	Myrcia.tenuifolia_Santos.747
Myrcia.mutabilis_Mazine.1052	Myrcia.mutabilis_Mazine.1052
Myrcia.bicarinata_Santos.849	Myrcia.bicarinata_Santos.849
Myrcia.subavenia_Santos.585	Myrcia.subavenia_Santos.585
Myrcia.nitida_Santos.600	Myrcia.nitida_Santos.600
Myrcia.plusiantha_Santos.712	Myrcia.plusiantha_Santos.712
Myrcia.jacobinensis_Santos.811	Myrcia.densa_Santos.811
Myrcia.subavenia_Santos.715	Myrcia.subavenia_Santos.715
Myrcia.nitida_Santos.720	Myrcia.nitida_Santos.720
Myrcia.mucugensis_Santos.823	Myrcia.mucugensis_Santos.823
Myrcia.ascendens_Santos.829	Myrcia.ascendens_Santos.829
Myrcia.pseudomarlierea_Souza.1139	Myrcia.cf.truncata_Souza.1139
Myrcia.subterminalis_Santos.733	Myrcia.subterminalis_Santos.733
Myrcia.lenheirensis_Lucas.263	Myrcia.lenheirensis_Lucas.263
Myrcia.pulchra_Lucas.138	Myrcia.subcordata_Lucas.138
Myrcia.plusiantha_Staggemeier.737	Myrcia.plusiantha_Staggemeier.737
Myrcia.follii_Staggemeier.907	Myrcia.plusiantha_Staggemeier.907
Myrcia.truncata_Lucas.1189	Myrcia.truncata_Lucas.1189
Myrcia.insigniflora_Matsumoto.799	Myrcia.insigniflora_Matsumoto.799
Myrcia.ferruginea_Lucas.1235	Myrcia.ferruginea_Lucas.1235
Myrcia.fenzliana_REP16	Myrcia.fenzliana_Vasconcelos.592
Myrcia.fenzliana_DF90	Myrcia.fenzliana_Santos.622
Myrcia.hartwegiana_Lucas.155	Myrcia.hartwegiana_Lucas.155
Myrcia.reticulata_RJ.87	Myrcia.reticulata_Santos.803
Myrcia.grandifolia_RJ22	Myrcia.grandifolia_Faria.2073
Myrcia.ilheosensis_ES84	Myrcia.ilheosensis_Amorim.2037
Myrcia.cordiifolia_ES.24	Myrcia.cordiifolia_Faria.2470
Myrcia.eriocalyx_MG.19	Myrcia.eriocalyx_Faria.1446
Myrcia.macrocalyx_SP.105	Myrcia.congestiflora_Torres.1673
Myrcia.barituensis_ARG.93	Myrcia.barituensis_Serrano.5327
Myrcia.aurea_ES625	Myrcia.aurea_Lucas.729
Myrcia.montana_MG693	Myrcia.montana_Lucas.261
Myrcia.subsericea_RJ89	Myrcia.subsericea_Santos.797
Myrcia.palustris_RS.116	Myrcia.palustris_Brotto.1546
Myrcia.hebepetala_Lucas.64	Myrcia.hebepetala_Lucas.64
Myrcia.brasiliensis_Lucas.62	Myrcia.brasiliensis_Lucas.62
Myrcia.tijucensis_Zappi.305	Myrcia.tijucensis_Zappi.305
Myrcia.squamata_PR113	Myrcia.squamata_Vieira.800
Myrcia.anacardiifolia_Nadruz.999	Myrcia.anacardiifolia_Nadruz.999
Myrcia.glazioviana_Santos.601	Myrcia.neospruceana_Santos.601
46269.MGlaziovii.Gomidesia	Myrcia.neospruceana_Vasconcelos.501
Myrcia.mischophylla_Sobral.Sn	Myrcia.mischophylla_Sobral.Sn
Myrcia.pubescens_IBGE.Sn	Myrcia.pubescens_IBGE.Sn
Myrcia.flagellaris_Lucas.83	Myrcia.flagellaris_Lucas.83
Myrcia.cerqueiria_ES.82	Myrcia.cerqueiria_Amorim.2028
Myrcia.sp_Staggemeier.740	Myrcia.sp_Staggemeier.740
Myrcia.ruschii_ES8	Myrcia.ruschii_Amorim.1941
Eugenia.neosericea_Faria.972	Myrcia.sp_Faria.972
Myrcia.grazielae_BA65	Myrcia.grazielae_Amorim.2016
Myrcia.springiana_PE57	Myrcia.springiana_Amorim.1985
Myrcia.springiana_BA17	Myrcia.springiana_Amorim.2007
Myrcia.serrana_BA58	Myrcia.serrana_Amorim.2013
Myrcia.pendulla_BA15	Myrcia.pendulla_Lucas.1206
Myrcia.rosangelae_Amorim.1499	Myrcia.rosangelae_Amorim.1499
Myrcia.sp_Lucas.1159	Myrcia.sp_Lucas.1159
Myrcia.sp_Souza.1126	Myrcia.sp_Souza.1126
Myrcia.espiritosantensis_ES83	Myrcia.espiritosantensis_Amorim.2033
Myrcia.amplex_ES26	Myrcia.amplexicaulis_Amorim.1940
M_crocea_ES_32	Myrcia.crocea_Amorim.1942
Myrcia.magnifolia_RJ29	Myrcia.magnifolia_Amorim.2000
Myrcia.carvalhoi_BA27	Myrcia.carvalhoi_Amorim.2026
Myrcia.carvalhoi_Santos.751	Myrcia.carvalhoi_Santos.751
Myrcia_vittoriana_Zappi455	Myrcia.vittoriana_Zappi.455
Myrcia.spectabilis_Lucas.75	Myrcia.spectabilis_Lucas.75
Myrcia.lughadhai_BA114	Myrcia.lughadhae_Hurbath.92
Myrcia.magnifolia_Lucas.1182	Myrcia.aff.magnifolia_Lucas.1182
Myrcia.sp_Vasconcelos.439	Myrcia.sp_Vasconcelos.439
Myrcia.rufipes_Lucas.280	Myrcia.rufipes_Lucas.280
Myrcia.vestita_Lucas.93	Myrcia.vestita_Lucas.93
M.Pinifolia	Myrcia.pinifolia_VOUCHER
Myrcia.paracatuensis_MelloSilva.1713	Myrcia.depauperata_MelloSilva.1713
Myrcia.variabilis_Lucas.277	Myrcia.variabilis_Lucas.277
Myrcia.pinifolia_Santos.613	Myrcia.depauperata_Santos.613
Myrcia.rotundata_Caddah.555	Myrcia.guianensis_Caddah.555
Myrcia.cuprea_Staggemeier.862	Myrcia.cuprea_Staggemeier.862
Myrcia.guianensis_Staggemeier.845	Myrcia.guianensis_Staggemeier.845
Myrcia.citrifolia_Pollard.1193	Myrcia.citrifolia_Pollard.1193
Myrcia.guianensis__Harley.50707	Myrcia.guianensis_Harley.50707
Myrcia.stricta_Santos.608	Myrcia.stricta_Santos.608
Myrcia.subverticillaris_Lucas.251	Myrcia.subalpestris_Lucas.251
Myrcia.sp_Staggemeier.762	Myrcia.cordiformis_Staggemeier.762
Myrcia.sp_Lucas.682	Myrcia.laxiflora_Lucas.682
Myrcia.laxiflora_Meirelles.307	Myrcia.laxiflora_Meirelles.307
Marlierea.aff.subacuminata_Staggemeier.742	Myrcia.aff.subacuminata_Staggemeier.742
Myrcia.multipunctata_Santos.836	Myrcia.multipunctata_Santos.836
Marlierea.subacuminata_Lucas.225	Myrcia.subacuminata_Lucas.225
Marlierea.clausseniana_Matsumoto.752	Myrcia.multipunctata_Matsumoto.752
Myrcia.eugeniopsoides_Lucas.61	Myrcia.eugeniopsoides_Lucas.61
Myrcia.vellozoi_Staggemeier.805	Myrcia.vellozoi_Staggemeier.805
Myrcia.ferruginosa_Santos.689	Myrcia.ferruginosa_Santos.689
Marlierea.teuscheriana_Lucas.633	Myrcia.teuscheriana_Lucas.633
Myrcia.sp_Staggemeier.896	Myrcia.teuscheriana_Staggemeier.896
Myrcia.hatschbachii_Santos.661	Myrcia.hatschbachii_Santos.661
Myrcia.oblongata_Santos.667	Myrcia.oblongata_Santos.667
Myrcia.tenuivenosa_Lucas.87	Myrcia.tenuivenosa_Lucas.87
Myrcia.anomala_Faria.1015	Myrcia.anomala_Faria.1015
Myrcia.tomentosa_Savassi.ESA85681	Myrcia.tomentosa_Savassi.ESA85681
Myrcia.laruotteana_Mello.1705	Myrcia.selloi_Mello.1705
Myrcia.tomentosa__SoaresSilva.752	Myrcia.tomentosa_SoaresSilva.752
Myrcia.selloi_Lucas.110	Myrcia.selloi_Lucas.110
Myrcia.aff.maximiliana_Santos.750	Myrcia.aff.maximiliana_Santos.750
Myrcia.sp_BA55	Myrcia.aff.unana_Amorim.2024
Myrcia.pulvinata_BA31	Myrcia.pulvinata_Amorim.1901
Myrcia.robusta_Lucas.727	Myrcia.robusta_Lucas.727
Myrcia.antonia_Lima.440	Myrcia.antonia_Lima.440
Myrcia.pubipetala_Lucas.86	Myrcia.pubipetala_Lucas.86
Myrcia.antonia_Santos.840	Myrcia.antonia_Santos.840
Myrcia.reticulosa_Harley.50309	Myrcia.reticulosa_Harley.50309
Myrcia.venulosa_Cruz.195	Myrcia.venulosa_Cruz.195
Myrcia.aethusa_Lima.447	Myrcia.aethusa_Lima.447
Myrcia.fallax_Prevost.4716	Myrcia.splendens_Prevost.4716
46115.MCanescens	Myrcia.canescens_Faria.1692
46129.MCardiaca	Myrcia.cardiaca_Vasconcelos.274
Myrcia.splendens_Wood.15435	Myrcia.splendens_Wood.15435
Myrcia.lignosa_W26462	Myrcia.lignosa_W26462
46123.MBella	Myrcia.bella_Lima.379
Myrcia.splendens_Lucas.73	Myrcia.splendens_Lucas.73
Myrcia.microphylla_Santos.617	Myrcia.microphylla_Santos.617
46128.MSylvaticaFlorestaAtlantica	Myrcia.sylvatica_SantosLima.844
Myrcia.splendens_Lucas.165	Myrcia.splendens_Lucas.165
Myrcia.eriopus_Lucas.258	Myrcia.eriopus_Lucas.258
Myrcia.anceps_Lucas.236	Myrcia.anceps_Lucas.236
Myrcia.bracteata_Prevost.4712	Myrcia.bracteata_Prevost.4712
Myrcia.aff.servata_Santos.777	Myrcia.servata_Santos.777
46261.MPiauhiensis	Myrcia.piauhiensis_Faria.2172
Myrcia.splendens_Vasconcelos.587	Myrcia.splendens_Vasconcelos.587
Myrcia.coumeta_Lucas.107	Myrcia.coumeta_Lucas.107
Myrcia.sp_Homeier.2363	Myrcia.sp_Homeier.2363
Myrcia.suffruticosa_MelloSilva.1690	Myrcia.suffruticosa_MelloSilva.1690
Myrcia.eximia_Santos.625	Myrcia.eximia_Santos.625
Myrcia.elevata_Santos.763	Myrcia.elevata_Santos.763
Myrcia.sp_Vasconcelos.307	Myrcia.sp_Vasconcelos.307
Myrcia.deflexa_Swensen.170	Myrcia.deflexa_Swensen.170
Myrcia.salzmannii_Vasconcelos.459	Myrcia.salzmannii_Vasconcelos.459
Myrcia.sp_Faria.4193	Myrcia.sp_Faria.4193
46271.MBergiana	Myrcia.bergiana_Lima.409
Myrcia.megaphylla_Santos.721	Myrcia.megaphylla_Santos.721
Myrcia.isaiana_Lucas.60	Myrcia.isaiana_Lucas.60
Myrcia.retorta_Lucas.179	Myrcia.retorta_Lucas.179
Myrcia.multiflora_Staggemeier.867	Myrcia.multiflora_Staggemeier.867
Myrcia.multiflora_Staggemeier.863	Myrcia.multiflora_Staggemeier.863
Myrcia.multiflora_Staggemeier.422	Myrcia.multiflora_Staggemeier.422
Myrcia.multiflora_Lucas.65	Myrcia.multiflora_Lucas.65
Myrcia.torta_Soares.751	Myrcia.myrtillifolia_Soares.751
Myrcia.rorida_Bridgewater.1076	Myrcia.myrtillifolia_Bridgewater.1076
Myrcia.pinifolia_Vasconcelos.505	Myrcia.pinifolia_Vasconcelos.505
Myrcia.myrtilliflolia_Lima.381	Myrcia.myrtilliflolia_Lima.381
Myrcia.myrtilliflolia_Lima.501	Myrcia.myrtilliflolia_Lima.501
Myrcia.ramuliflora_Lima.412	Myrcia.ramuliflora_Lima.412
Myrcia.polyantha_Staggemeier.797	Myrcia.polyantha_Staggemeier.797
Myrcia.decorticans_Staggemeier.799	Myrcia.decorticans_Brazil_SE_Staggemeier.799
Myrcia.tetraloba_Lima.415	Myrcia.tetraloba_Lima.415
Myrcia.sp_Lucas.1169	Myrcia.sp_Lucas.1169
Myrcia.amazonica_Lima.406	Myrcia.sp_Lima.406
Myrcia.blanchetiana_Santos.834	Myrcia.blanchetiana_Santos.834
Myrcia.sp_Vasconcelos.440	Myrcia.sp_Vasconcelos.440
Myrcia.sessilissima_Santos.641	Myrcia.sessilissima_Santos.641
Myrcia.blanchetiana_Lima.436	Myrcia.blanchetiana_Lima.436
Myrcia.aff.venulosa_Santos.819	Myrcia.aff.venulosa_Santos.819
Myrcia.litoralis_Lima.510	Myrcia.litoralis_Lima.510
Myrcia.coeleosepala_Lucas.267	Myrcia.coeleosepala_Lucas.267
Myrcia.platyclada_Hawthorne.502	Myrcia.platyclada_Hawthorne.502
Myrcia.sp_Staggemeier.792	Myrcia.sp_Staggemeier.792
Myrcia.racemosa_Lima.389	Myrcia.racemosa_Lima.389
Myrcia.racemosa_Lima.398	Myrcia.racemosa_Lima.398
Myrcia.racemosa_Staggemeier.934	Myrcia.racemosa_Staggemeier.934
Myrcia.racemosa_Lucas.63	Myrcia.racemosa_Lucas.63
Myrcia.racemosa_Faria.2510	Myrcia.racemosa_Faria.2510
Myrcia.racemosa_Staggemeier.760	Myrcia.racemosa_Staggemeier.760
Myrcia.racemosa_Staggemeier.795	Myrcia.racemosa_Staggemeier.795
Myrcia.racemosa_Vasconcelos.452	Myrcia.racemosa_Vasconcelos.452
Myrcia.racemosa_Staggemeier.751	Myrcia.racemosa_Staggemeier.751
Myrcia.micropetala_Paixao.289	Myrcia.micropetala_Paixao.289
Myrcia.raminfinita_Lucas.1033	Myrcia.raminfinita_Lucas.1033
Myrcia.spathulifolia_Faria.4214	Myrcia.spathulifolia_Faria.4214
Myrcia.littoralis_Lima.511	Myrcia.littoralis_Lima.511
Myrcia.ramiflora_Lucas.1181	Myrcia.ramiflora_Lucas.1181
Myrcia.inaequiloba_Lucas.105	Myrcia.inaequiloba_Lucas.105
Myrcia.egensis_Araujo.311	Myrcia.egensis_Araujo.311
Myrcia.grandis_Staggemeier.850	Myrcia.grandis_Staggemeier.850
Myrcia.aff.neomontana_Hoffmann.945	Myrcia.aff.neomontana_Hoffmann.945
Myrcia.minutiflora_Sasaki.2394	Myrcia.minutiflora_Sasaki.2394
Myrcia.aulomyrcioides_Araujo.1885	Myrcia.aulomyrcioides_Araujo.1885
Myrcia.sp_Carvalho.1594	Myrcia.sp_Carvalho.1594
Myrcia.caudata_Zappi.1506	Myrcia.caudata_Zappi.1506
Myrcia.mcvaughii_Caddah.547	Myrcia.mcvaughii_Caddah.547
Myrcia.aff.neomontana_Holst.9384	Myrcia.aff.neomontana_Holst.9384
Myrcia.sp_Harms.20	Myrcia.sp_Harms.20
Myrcia.sp_Prevost.4749	Myrcia.decorticans_Prevost.4749_Guyana
Myrcia.umbraticola_Souza.Sn.43175	Myrcia.umbraticola_Souza.Sn.43175
Myrcia.saxatilis_Lucas.98	Myrcia.saxatilis_Lucas.98
Myrcia.rupta_Vasconcelos.311	Myrcia.rupta_Vasconcelos.311
Myrcia.abbotiana_Lucas.1108	Myrcia.abbotiana_Lucas.1108
Myrcia.abbotiana_Vasconcelos.571	Myrcia.abbotiana_Vasconcelos.571
Myrcia.maricaensis_AcevedoRodriguez.7160	Myrcia.maricaensis_AcevedoRodriguez.7160
Myrcia.sp_Lucas.1192	Myrcia.sp_Lucas.1192
Myrcia.neuwiedeana_Staggemeier.793	Myrcia.neuwiedeana_Staggemeier.793
Myrcia.sp_Staggemeier.927	Myrcia.sp_Staggemeier.927
Myrcia.neuwiedeana_Lucas.886	Myrcia.neuwiedeana_Lucas.886
Myrcia.sp_Souza.1131	Myrcia.sp_Souza.1131
Myrcia.neoobscura_Matsumoto.836	Myrcia.neoobscura_Matsumoto.836
Myrcia.neoriedeliana_Lucas.88	Myrcia.neoriedeliana_Lucas.88
Marl.suaveolens_Lucas.85_16822_cl.9E	Marlierea.suaveolens_Lucas.85
Myrcia.neotomentosa_Matsumoto.798	Myrcia.neotomentosa_Matsumoto.798
Myrcia.racemosa_Lima.445	Myrcia.racemosa_Lima.445
Myrcia.neoregeliana_Matsumoto.814	Myrcia.neoregeliana_Matsumoto.814
Myrcia.excoriata_Matsumoto.825	Myrcia.excoriata_Matsumoto.825
Myrcia.sucrei_Matsumoto.824	Myrcia.sucrei_Matsumoto.824
Myrcia.marianae_Staggemeier.764	Myrcia.marianae_Staggemeier.764
Myrcia.sucrei_Staggemeier.916	Myrcia.sucrei_Staggemeier.916
Myrcia.neoglabra_Staggemeier.935	Myrcia.neoglabra_Staggemeier.935
Myrcia.sp_Lucas.1190	Myrcia.trimera_Lucas.1190
Myrcia.limae_Cordeiro.310	Myrcia.limae_Cordeiro.310
Myrcia.eumecephylla_Matsumoto.803	Myrcia.eumecephylla_Matsumoto.803
Myrcia.obversa_Matsumoto.820	Myrcia.obversa_Matsumoto.820
Myrcia.hexasticha_Lucas.194	Myrcia.hexasticha_Lucas.194
Myrcia.clavija_Lucas.244	Myrcia.clavija_Lucas.244
Myrcia.tetraphylla_Staggemeier.926	Myrcia.tetraphylla_Staggemeier.926
Myrcia.leptoclada_Swensen.185	Myrcia.leptoclada_Swensen.185
Myrcia.neodimorpha_Folli.6649	Myrcia.neodimorpha_Folli.6649
Myrcia.amazonica_Lucas.189	Myrcia.amazonica_Lucas.189
Myrcia.amazonica_Lucas.59	Myrcia.amazonica_Lucas.59
Myrcia.amazonica_Lucas.130	Myrcia.amazonica_Lucas.130
Myrcia.sp_Staggemeier.901	Myrcia.sp_Staggemeier.901
Myrcia.riodocensis_Staggemeier.917	Myrcia.riodocensis_Staggemeier.917
Myrcia.amazonica_Prevost.4751	Myrcia.amazonica_Prevost.4751
Myrcia.aff.amazonica_Neto.3007	Myrcia.aff.amazonica_Neto.3007
Myrcia.aff.subobliqua_Staggemeier.839	Myrcia.aff.subobliqua_Staggemeier.839
Pli_clausa_Aline_matrix	Plinia.clausa_Stadnik.601
Pli_longiacuminata_Aline_matrix	Plinia.longiacuminata_Borges.314
Plinia.cauliflora_Lucas.210	Plinia.cauliflora_Lucas.210
Pli_espiritosantensis_Aline_matrix	Plinia.espiritosantensis_Souza.sn
Plinia.nana_Mazine.662	Plinia.nana_Mazine.662
Myrciaria.floribunda_Mazine.796	Myrciaria.floribunda_Mazine.796
Myrciaria.delicatula_Vasconcelos.495	Myrciaria.cuspidata_Vasconcelos.495
Myrciaria.sp_34855	Myrciaria.sp_34855
Myrciaria.floribunda_Vasconcelos.380	Myrciaria.floribunda_Vasconcelos.380
Myrciaria.vexator_Vasconcelos.709	Myrciaria.vexator_Vasconcelos.709
Myrciaria.glazioviana_Vasconcelos.413	Myrciaria.glomerata_Vasconcelos.413
Myrciaria.tenella_Lucas.417	Myrciaria.tenella_Lucas.417
Mia_glazioviana_Aline_matrix	Myrciaria.glazioviana_CoelhoJ.288
Siphoneugena.guilfoyleiana_Lucas.70	Siphoneugena.guilfoyleiana_Lucas.70
Sip_reitzii_Aline_matrix	Siphoneugena.reitzii_Staggemeier.1000
Siphoneugena.densiflora_Faria.4152	Siphoneugena.densiflora_Faria.4152
Siphoneugena.densiflora_Mazine.1050	Siphoneugena.densiflora_Mazine.1050
Plinia.sp_Holst.9482	Plinia.sp_Holst.9482
Neomitranthes.obtusa_Proenca.4047	Neomitranthes.obtusa_Proenca.4047
Neomitranthes.glomerata_LabFenoSn3.G2.46397	Neomitranthes.glomerata_LabFenoSn3.G2.46397
Plinia.cordifolia_Mazine.957	Plinia.cordifolia_Mazine.957
Plinia.complanata_Matsumoto.831	Plinia.complanata_Matsumoto.831
Pli_espinhacensis_Aline_matrix	Plinia.espinhacensis_Faria.6379
Algrizea_macrochlamys_1_Itayguara_matrix	Algrizea.macrochlamys_Urdampilleta.404
Algrizea.macrochlamys_Giulietti.1648	Algrizea.macrochlamys_Giulietti.1648
Algrizea.minor_Faria.4157	Algrizea.minor_Faria.4157
Myrceugenia.myrcioides_Lucas.82	Myrceugenia.myrcioides_Lucas.82
Myrceugenia.reitzii_Barbosa.945	Myrceugenia.reitzii_Barbosa.945
Myrceugenia.pilotantha_Lucas.230	Myrceugenia.pilotantha_Lucas.230
Myrceugenia.ovata.var.regnelliana_Silva.18	Myrceugenia.ovata.var.regnelliana_Silva.18
Myrceugenia.brevipedicellata_Landrum.2830	Myrceugenia.brevipedicellata_Landrum.2830
Myrceugenia.euosma_Soares.715	Myrceugenia.euosma_Soares.715
Myrceugenia.alpigena.var.longifolia_Harley.26218	Myrceugenia.alpigena.var.longifolia_Harley.26218
Myrceugenia.alpigena.var.fuliginea_Hatschbach.59697	Myrceugenia.alpigena.var.fuliginea_Hatschbach.59697
Myrceugenia.smithii_Garcia.533	Myrceugenia.smithii_Garcia.533
Myrceugenia.ovata.var.regnelliana_Souza.10621	Myrceugenia.ovata.var.regnelliana_Souza.10621
Myrceugenia.miersiana_Lucas.164	Myrceugenia.miersiana_Lucas.164
Myrceugenia.cucullata_Wasum.105	Myrceugenia.cucullata_Wasum.105
Myrceugenia.oxysepala_Ribas.2234	Myrceugenia.oxysepala_Ribas.2234
Myrceugenia.seriatoramosa_Silva.2358	Myrceugenia.seriatoramosa_Silva.2358
Myrceugenia.franciscensis_Miyagi.357	Myrceugenia.franciscensis_Miyagi.357
Myrceugenia.ovata.var.acutata_Chagas.1979	Myrceugenia.ovata.var.acutata_Chagas.1979
Myrceugenia.glaucescens_Landrum.11231	Myrceugenia.glaucescens_Landrum.11231
Myrceugenia.myrtoides_Rossato.47	Myrceugenia.myrtoides_Rossato.47
Myrceugenia.alpigena_Lucas.167	Myrceugenia.alpigena_Lucas.167
Myrceugenia.kleinii_Cordeiro.734	Myrceugenia.kleinii_Cordeiro.734
Myrceugenia.bananalensis_Faria.4049	Myrceugenia.bananalensis_Faria.4049
Myrceugenia.pilotantha.var.pilotantha_Lohmann.35	Myrceugenia.pilotantha.var.pilotantha_Lohmann.35
Myrceugenia.ovalifolia_Lucas.259	Myrceugenia.ovalifolia_Lucas.259
Myrceugenia.myrcioides_Lucas.503	Myrceugenia.myrcioides_Lucas.503
Myrceugenia.myrcioides.var.acrophylla_Ribas.229	Myrceugenia.myrcioides.var.acrophylla_Ribas.229
Myrceugenia.gertii_Barbosa.948	Myrceugenia.gertii_Barbosa.948
Myrceugenia.rufescens_Lucas.469	Myrceugenia.rufescens_Lucas.469
Myrceugenia.campestris_Kummrow.2940	Myrceugenia.campestris_Kummrow.2940
Myrceugenia.colchaguensis_Landrum.8033	Myrceugenia.colchaguensis_Landrum.8033
Myrceugenia.schulzei_Ruiz.8266	Myrceugenia.schulzei_Ruiz.8266
Myrceugenia.chrysocarpa_Landrum.8166	Myrceugenia.chrysocarpa_Landrum.8166
Myrceugenia.ovata.var.ovata_Gardner.19	Myrceugenia.ovata.var.ovata_Gardner.19
Myrceugenia.ovata.var.nannophylla_Mihoc.5162	Myrceugenia.ovata.var.nannophylla_Mihoc.5162
Myrceugenia.planipes_Aedo.7378	Myrceugenia.planipes_Aedo.7378
Myrceugenia.planipes_Landrum.Sn	Myrceugenia.planipes_Landrum.Sn
Myrceugenia.planipes_RBGE.19981561B	Myrceugenia.planipes_RBGE.19981561B
Myrceugenia.leptospermoides_RBGE.19891714C	Myrceugenia.leptospermoides_RBGE.19891714C
Myrceugenia.leptospermoides_Murillo.4214	Myrceugenia.leptospermoides_Murillo.4214
Myrceugenia.parvifolia_Landrum.5916	Myrceugenia.parvifolia_Landrum.5916
Myrceugenia.pinifolia_Gardner.164	Myrceugenia.pinifolia_Gardner.164
Myrceugenia.lanceolata_Mihoc.6220	Myrceugenia.lanceolata_Mihoc.6220
Myrceugenia.exsucca_Murillo.4217	Myrceugenia.exsucca_Murillo.4217
Myrceugenia.correifolia_Teillier.5360	Myrceugenia.correifolia_Teillier.5360
Myrceugenia.rufa_Teillier.150795	Myrceugenia.rufa_Teillier.150795
Myrceugenia.ovata_RBGE.19982353C	Myrceugenia.ovata_RBGE.19982353C
Myrceugenia.obtusa_Brownless.1227	Myrceugenia.obtusa_Brownless.1227
Luma.apiculata_Lucas.208	Luma.apiculata_Lucas.208
Luma_chequen_Itayguara_matrix	Luma.chequen_RBGE.19980725G
Temu.cruckshanksii_RBGE.1998073D	Temu.cruckshanksii_RBGE.1998073D
Blepharocalyx.salicifolius_Lucas.78	Blepharocalyx.salicifolius_Lucas.78
Calycolpus.legrandii_Proenca.4046	Calycolpus.legrandii_Proenca.4046
Blepharocalyx.salicifolius_Faria.4195	Blepharocalyx.salicifolius_Faria.4195
Blepharocalyx_salicifolius_1_Itayguara_matrix	Blepharocalyx.salicifolius_Costa.560
Blepharocalyx.salicifolius_MeloSilva.1679	Blepharocalyx.salicifolius_MeloSilva.1679
Blepharocalyx.eggersii_Vasconcelos.458	Blepharocalyx.eggersii_Vasconcelos.458
Blepharocalyx.salicifolius_Negritto.927	Blepharocalyx.salicifolius_Negritto.927
